"Nr","ID","POINT_X","POINT_Y","Sand","Silt","Clay","Ca","set"
234,"A377",756813,7519299,82,4,14,11,"cal_candidate"
692,"B377",756813,7519299,78,2,20,4,"cal_candidate"
235,"A379",756910.563,7519299,84,2,14,10,"cal_candidate"
236,"A381",757010.375,7519302.5,86,2,12,9,"cal_candidate"
693,"B381",757010.375,7519302.5,82,2,16,1,"cal_candidate"
237,"A383",757111.438,7519306.5,84,2,14,13,"cal_candidate"
694,"B383",757111.438,7519306.5,80,2,18,1,"cal_candidate"
695,"B385",757212.625,7519308.5,80,2,18,2,"cal_candidate"
238,"A387",757311.063,7519307,84,2,14,24,"cal_candidate"
696,"B387",757311.063,7519307,78,2,20,2,"cal_candidate"
240,"A389",757511,7519311.5,82,2,16,17,"cal_candidate"
698,"B389",757511,7519311.5,76,2,22,3,"cal_candidate"
241,"A391",757610.688,7519311,84,2,14,15,"cal_candidate"
699,"B391",757610.688,7519311,82,2,16,1,"cal_candidate"
245,"A393",758010.125,7519316,78,6,16,18,"cal_candidate"
702,"B393",758010.125,7519316,74,2,24,2,"cal_candidate"
246,"A395",758109.875,7519320,80,4,16,12,"cal_candidate"
703,"B395",758109.875,7519320,78,2,20,1,"cal_candidate"
247,"A397",758210.688,7519328,82,4,14,19,"cal_candidate"
704,"B397",758210.688,7519328,78,2,20,8,"cal_candidate"
249,"A399",758115,7519220,82,2,16,8,"validation"
706,"B399",758115,7519220,78,2,20,1,"validation"
250,"A401",758014.875,7519219,82,4,14,12,"cal_candidate"
707,"B401",758014.875,7519219,78,2,20,3,"cal_candidate"
253,"A403",757615.188,7519213,84,4,12,20,"cal_candidate"
710,"B403",757615.188,7519213,80,2,18,2,"cal_candidate"
255,"A405",757411.375,7519212,84,2,14,17,"cal_candidate"
256,"A407",757312.5,7519209,84,4,12,19,"cal_candidate"
712,"B407",757312.5,7519209,80,2,18,2,"cal_candidate"
257,"A409",757212.438,7519206,82,4,14,63,"validation"
713,"B409",757212.438,7519206,80,2,18,1,"validation"
258,"A411",757110.75,7519204,84,4,12,10,"cal_candidate"
714,"B411",757110.75,7519204,78,2,20,3,"cal_candidate"
259,"A413",757013.375,7519204,82,2,16,12,"validation"
715,"B413",757013.375,7519204,72,6,22,5,"validation"
261,"A415",756814.188,7519200,84,2,14,9,"cal_candidate"
717,"B415",756814.188,7519200,78,2,20,3,"cal_candidate"
266,"A417",756513.125,7519094,57,10,33,18,"cal_candidate"
721,"B417",756513.125,7519094,46,9,45,5,"cal_candidate"
267,"A419",756615,7519099.5,74,6,20,17,"validation"
722,"B419",756615,7519099.5,61,6,33,3,"validation"
723,"B421",756713.313,7519099,70,2,28,3,"validation"
270,"A423",757514.313,7519112,84,4,12,26,"cal_candidate"
726,"B423",757514.313,7519112,78,2,20,3,"cal_candidate"
275,"A425",758015.438,7519117.5,82,4,14,18,"cal_candidate"
731,"B425",758015.438,7519117.5,80,2,18,1,"cal_candidate"
276,"A427",758117.25,7519120.5,84,4,12,19,"cal_candidate"
732,"B427",758117.25,7519120.5,80,2,18,1,"cal_candidate"
277,"A429",758216.563,7519122,86,2,12,15,"validation"
733,"B429",758216.563,7519122,82,2,16,1,"validation"
280,"A431",758014.25,7519018.5,84,2,14,14,"validation"
736,"B431",758014.25,7519018.5,82,2,16,3,"validation"
281,"A433",757919.5,7519015.5,84,4,12,12,"cal_candidate"
284,"A435",757615.438,7519013,82,4,14,12,"cal_candidate"
739,"B435",757615.438,7519013,76,4,20,1,"cal_candidate"
286,"A437",757416.813,7519009.5,80,2,18,12,"validation"
741,"B437",757416.813,7519009.5,82,2,16,1,"validation"
289,"A439",757518,7518932,78,6,16,17,"cal_candidate"
744,"B439",757518,7518932,78,2,20,5,"cal_candidate"
296,"A441",756904.938,7519705,86,2,12,14,"cal_candidate"
751,"B441",756904.938,7519705,82,2,16,3,"cal_candidate"
